textid	target	model	tokenizer	predicted	prob
1	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.945046603679657
2	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8518394231796265
3	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8634422421455383
4	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.91912442445755
5	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8681786060333252
6	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.874264657497406
7	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8379600644111633
8	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9158927798271179
9	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.700752854347229
10	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9015300273895264
11	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8656045198440552
12	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8131110072135925
13	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8722407817840576
14	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6670443415641785
15	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7686111927032471
16	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9171630144119263
17	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7870405912399292
18	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8761630058288574
19	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.92727130651474
20	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8832300305366516
21	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9199151396751404
22	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7272108793258667
23	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8124080896377563
24	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7818396687507629
25	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9065091609954834
26	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7884987592697144
27	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.6576846837997437
28	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.9566821455955505
29	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.7135472297668457
30	0	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8744329214096069
31	1	midterm/gpt2model2	midterm/gpt2model2	Positive	0.8899011611938477
