textid	text	condition	target
1	The sailors rode the breeze clear of the rocks.	foo	1
2	The weights made the rope stretch over the pulley.	foo	1
3	The mechanical doll wriggled itself loose.	foo	1
4	If you had eaten more, you would want less.	foo	1
5	As you eat the most, you want the least.	foo	0
6	The more you would want, the less you would eat.	foo	0
7	I demand that the more John eat, the more he pays.	foo	0
8	Mary listens to the Grateful Dead, she gets depressed.	foo	1
9	The angrier Mary got, the more she looked at pictures.	foo	1
10	The higher the stakes, the lower his expectations are.	foo	1
11	The more Fred is obnoxious, the less attention you should pay to him.	foo	1
12	John was lots more obnoxious than Fred.	foo	1
13	The more people you give beer to, the more people get sick.	foo	1
14	The more does Bill smoke, the more Susan hates him.	foo	0
15	The more pictures of him that appear in the news, the more embarrassed John becomes.	foo	1
16	Every senator seems to become more corrupt, as he talks to more lobbyists.	foo	1
17	Who does John visit Sally because he likes?	foo	0
18	Marianne did not leave.	foo	1
19	He could not have been working.	foo	1
20	He can not have been working.	foo	1
21	You will believe Bob.	foo	1
22	John has not kissed Mary.	foo	1
23	I said that never in my life had I seen a place like Bangor.	foo	1
24	Mickey looked up it.	foo	0
25	There tended to be a lot of discussion.	foo	1
26	John tried to be a good boy.	foo	1
27	John is eager.	foo	1
28	We want John to win.	foo	1
29	The box contained the ball from the tree.	foo	0
30	The tube was escaped by gas.	foo	0
31	Water bubbled up out of the kettle.	foo	1
32	The tub leaked water.	foo	1
33	What the water did to the bottle was fill it.	foo	0
34	What the water did to the whole bottle was fill it.	foo	0
35	The tank leaked the fluid free.	foo	1
36	John lay the ball in the box.	foo	1
37	John owns the book.	foo	1
38	We persuaded Mary to leave and Sue to stay.	foo	1
39	Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.	foo	1
40	Mary beautifully plays the violin.	foo	0
41	Clearly, John probably will immediately learn French perfectly.	foo	1
42	Sue gave to Bill a book.	foo	0
43	The men will all leave.	foo	1
44	John went home.	foo	1
45	They represented seriously to the dean Mary as a genuine linguist.	foo	0
46	Us love they.	foo	0
47	It is nice to go abroad.	foo	1
48	Mary intended John to go abroad.	foo	0
49	I remembered having kissed Mary.	foo	1
50	I can't believe Fred won't, either.	foo	1
51	John wants to read Fred's story, and I also want to.	foo	1
52	We wanted to invite someone, but we couldn't decide who to.	foo	0
53	Mary will read Fred's story, and Joe will read Holly's.	foo	1
54	Mary claimed that eating cabbage, Holly shouldn't.	foo	0
55	Mary came to be introduced by the bartender and I also came to be.	foo	0
56	If I can, I will work on it.	foo	1
57	Joe's neuroses bother his patrons, and Sally does too.	foo	1
58	I know which book Jos̩ didn't read for class, and which book Lilly did it for him.	foo	0
59	This is the book which Bob reviewed, and this is the one which Fred won't do it.	foo	0
60	I know which book Mag read, and which book Bob said that you hadn't.	foo	1
61	I know which book Mag read, and which book Bob read my report that you hadn't.	foo	0
62	I'm sure I would like him to eat fruit more than I would cookies.	foo	1
63	Rusty talked about himself only after Mary did talk about him.	foo	1
64	Fred talked about everything before Rusty did talk about something.	foo	1
65	John often meets Mary.	foo	1
66	The problem perceives easily.	foo	0
67	A hundred men surrounded the fort.	foo	1
68	We elected me.	foo	1
69	Which report that John was incompetent did he submit?	foo	0
70	Mary has always preferred lemons to limes.	foo	1
71	He let the cats which were whining out.	foo	1
72	What did Bill buy?	foo	1
73	Mary saw the boy walking toward the railroad station.	foo	1
74	A proof that the claim had been made was given that John had lied.	foo	0
75	He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.	foo	1
76	The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.	foo	0
77	I want that Bill left to remain a secret.	foo	0
78	I know a man who Tom drives as drives.	foo	0
79	Drowning cats, which is against the law, are hard to rescue.	foo	0
80	Muriel said nothing else than that she had been insulted.	foo	1
81	Himself is understood by Rutherford.	foo	0
82	I feel that Arch will show up.	foo	1
83	The proof this set is recursive is difficult.	foo	0
84	The madrigals which Henry plays the lute and sings sound lousy.	foo	0
85	Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.	foo	1
86	Where did you go and who ate what?	foo	1
87	Which boy's did we elect guardian's employer president?	foo	0
88	How sane is Peter?	foo	1
89	I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too.	foo	1
90	I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.	foo	0
91	Who is she trying to make up to now?	foo	1
92	Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.	foo	0
93	Mike talked about politics yesterday to my friends.	foo	1
94	It was 1 by the reporters that the principal would fire some teacher.	foo	1
95	Which hat did Mike quip that she never wore?	foo	0
96	Which girl did Mike quip never wore this hat?	foo	0
97	We donated wire for the convicts to build cages with.	foo	1
98	I won't have some money.	foo	0
99	Do you believe the claim that somebody was looking for something?	foo	1
100	I won't ask you to believe that he tried to force me to give her any money.	foo	1
101	That Sam sometimes didn't sleep must have pleased somebody.	foo	1
102	I talked to Winston about himself.	foo	1
103	That the fuzz wanted him worried John, but that the fuzz wanted her didn't worry Mary.	foo	1
104	I'll work on it if Sam will be working on it.	foo	1
105	I'll work on it if I can.	foo	1
106	Here's a knife with which for you to cut up the onions.	foo	0
107	Fluffy is sick, which not everybody knows.	foo	1
108	Maxwell is quite a doctor.	foo	1
109	The younger woman might have been tall and, and the older one definitely was, blond.	foo	0
110	Sally is tall, and may be blond, and Sheila is short, and definitely is, blond.	foo	1
111	I have to try to finish grading some papers.	foo	1
112	The socks are ready for for you to put on to be planned.	foo	0
113	It is easy to play sonatas on this violin.	foo	1
114	This violin is difficult to play sonatas on.	foo	1
115	My mother is easy to please my father and.	foo	0
116	Poor Bill, it had started to rain and he had no umbrella.	foo	1
117	That the cops spoke to the janitor about it yesterday is terrible, that robbery.	foo	0
118	Every student, and he wears socks, is a swinger.	foo	0
119	That girl was given my binoculars by him.	foo	1
120	Bill didn't allege that Roger had eaten anything.	foo	1
121	Nobody who hates to eat anything should work in a delicatessen.	foo	1
122	Everybody around here who ever buys anything on credit talks in his sleep.	foo	1
123	I can't remember the name of somebody who had misgivings.	foo	0
124	No writer, and no playwright, meets in Vienna.	foo	0
125	No writer, nor any playwright, meets in Vienna.	foo	0
126	That you will marry any student is not certain.	foo	1
127	Felicia kicked the ball off the bench.	foo	1
128	I sent the package halfway around the world.	foo	1
129	Sam gave the ball out of the basket.	foo	0
130	Sam offered the ball out of the basket.	foo	0
131	Park Square has a festive air.	foo	1
132	The worker will have a job.	foo	1
133	No one can forgive that comment to you.	foo	0
134	We launched the rocket to the moon, but it blew up before it got there.	foo	1
135	Sarah promised Catherine her old car, but then gave it to her son instead.	foo	1
136	I lent the book partway to Tony.	foo	0
137	The farmer loaded the cart with apples.	foo	1
138	The farmer dumped the cart with apples.	foo	0
139	Martha carved the baby a toy out of wood.	foo	1
140	The bread cuts easily.	foo	1
141	Janet broke Bill on the finger.	foo	0
142	Janet broke the cup.	foo	1
143	The visitor rang the bell.	foo	1
144	We pulled free.	foo	1
145	That movie always shocks people.	foo	1
146	That movie always shocks.	foo	1
