text	label
our friends won't buy this analysis , let alone the next one we propose .	1
one more pseudo generalization and i 'm giving up .	1
one more pseudo generalization or i 'm giving up .	1
the more we study verbs , the crazier they get .	1
day by day the facts are getting murkier .	1
i 'll fix you a drink .	1
fred watered the plants flat .	1
bill coughed his way out of the restaurant .	1
we 're dancing the night away .	1
herman hammered the metal flat .	1
the critics laughed the play off the stage .	1
the pond froze solid .	1
bill rolled out of the room .	1
the gardener watered the flowers flat .	1
the gardener watered the flowers .	1
bill broke the bathtub into pieces .	1
bill broke the bathtub .	1
they drank the pub dry .	1
they drank the pub .	0
the professor talked us into a stupor .	1
the professor talked us .	0
we yelled ourselves hoarse .	1
we yelled ourselves .	0
we yelled harry hoarse .	0
harry coughed himself into a fit .	1
harry coughed himself .	0
harry coughed us into a fit .	0
bill followed the road into the forest .	1
we drove highway 5 from sd to sf .	1
fred tracked the leak to its source .	1
john danced waltzes across the room .	1
bill urinated out the window .	1
bill coughed out the window .	1
bill bled on the floor .	1
the toilet leaked through the floor into the kitchen below .	1
bill ate off the floor .	1
bill drank from the hose .	1
this metal hammers flat easily .	1
they made him president .	1
they made him angry .	1
they caused him to become angry by making him .	0
they caused him to become president by making him .	0
they made him to exhaustion .	0
they made him into a monster .	1
the trolley rumbled through the tunnel .	1
the wagon rumbled down the road .	1
the bullets whistled past the house .	1
the knee replacement candidate groaned up the stairs .	1
the car honked down the road .	0
the dog barked out of the room .	0
the dog barked its way out of the room .	1
bill whistled his way past the house .	1
the witch vanished into the forest .	1
bill disappeared down the road .	1
the witch went into the forest by vanishing .	0
the witch went into the forest and thereby vanished .	1
the building is tall and wide .	1
the building is tall and tall .	0
this building is taller and wider than that one .	1
this building got taller and wider than that one .	1
this building got taller and taller .	1
this building is taller and taller .	0
this building got than that one .	0
this building is than that one .	0
bill floated into the cave .	1
bill floated into the cave for hours .	0
bill pushed harry off the sofa for hours .	0
bill floated down the river for hours .	1
bill floated down the river .	1
bill pushed harry along the trail for hours .	1
bill pushed harry along the trail .	1
the road zigzagged down the hill .	1
the rope stretched over the pulley .	1
the weights stretched the rope over the pulley .	1
the weights kept the rope stretched over the pulley .	1
sam cut himself free .	1
sam got free by cutting his finger .	1
bill cried himself to sleep .	1
bill cried sue to sleep .	0
bill squeezed himself through the hole .	1
bill sang himself to sleep .	1
bill squeezed the puppet through the hole .	1
bill sang sue to sleep .	1
the elevator rumbled itself to the ground .	0
if the telephone rang , it could ring itself silly .	1
she yelled hoarse .	0
ted cried to sleep .	0
the tiger bled to death .	1
he coughed awake and we were all overjoyed , especially sierra .	1
john coughed awake , rubbing his nose and cursing under his breath .	1
john coughed himself awake on the bank of the lake where he and bill had their play .	1
ron yawned himself awake .	1
she coughed herself awake as the leaf landed on her nose .	1
the worm wriggled onto the carpet .	1
the chocolate melted onto the carpet .	1
the ball wriggled itself loose .	0
bill wriggled himself loose .	1
aliza wriggled her tooth loose .	1
the off center spinning flywheel shook itself loose .	1
the more you eat , the less you want .	1
if you eat more , you want correspondingly less .	1
when you eat more , you want correspondingly less .	1
as you eat more , you want correspondingly less .	1
the most you want , the least you eat .	0
the angrier sue gets , the more fred admires her .	1
the more that you eat , the less that you want .	1
the angrier that sue gets , the more that fred admires her .	1
i think that the more you eat , the less you want .	1
i 'm not shocked by the idea that the more you eat , the less you want .	1
it is obvious that the more you eat , the less you want .	1
it is not entirely clear if the more you eat , the less you want .	1
i want to explain exactly why the more you eat , the less you want .	1
i demand that the more john eats , the more he pays .	1
i demand that the more john eat , the more he pay .	0
i demand that john pay more , the more he eats .	1
i demand that john pays more , the more he eat .	0
you get angrier , the more we eat , do n't you .	1
you get angrier , the more we eat , do n't we .	0
the harder it has rained , how much faster a flow that appears in the river ?	0
the harder it has rained , how much faster a flow appears in the river ?	1
the harder it rains , how much faster that do you run ?	0
the harder it rains , how much faster do you run ?	1
the harder it rains , how much faster a flow do you see in the river ?	1
the harder it rains , how much faster a flow that do you see in the river ?	0
when it rains harder , how much faster a flow appears in the river ?	1
as it rains harder , how much faster a flow appears in the river ?	1
as it rains harder , how much faster a flow that appears in the river ?	0
when it rains harder , how much faster a flow that appears in the river ?	0
how much harder has it rained , the faster a flow you see in the river ?	1
how much harder has it rained , when you see a faster flow in the river ?	1
the more john eats , the tighter keep your mouth shut about it .	0
the more everyone eat , the more john keeps his big mouth shut about it , ok ?	0
when john eats more , keep your mouth shut tighter , ok ?	1
as john eats more , keep your mouth shut tighter , ok ?	1
keep your mouth shut tighter , the more john eats , ok ?	1
everyone keep your mouth shut tighter , the more john eats , ok ?	1
i can well imagine the more him eating , the fatter him getting .	0
bill can well imagine getting fat .	1
bill can well imagine the more he eats , the fatter getting .	0
fred can well imagine joe getting fatter , the more he eats .	1
it is important the more you eat , the more careful to be .	0
it is important for the more you eat , the more careful to be .	0
it is important the more you to eat , the more careful to be .	0
it is important the more you eat , the more careful you to be .	0
it is important the more you eat , the more careful for you to be .	0
it is important for the more you to eat , the more careful to be .	0
it is important for the more you to eat , the more careful for you to be .	0
it is important the more you to eat , the more careful for you to be .	0
it is important for the more you eat , the more careful you to be .	0
it is important for you to be more careful , the more you eat .	1
it is important to be more careful , the more you eat .	1
i can well imagine quickly mary answering the question .	0
i can well imagine with a hatchet mary destroying the jeep .	0
i can well imagine if he eats more , him getting fat .	0
it is not entirely obvious if , mary listens to the grateful dead , she gets depressed .	0
it is not entirely obvious whether , mary listens to the grateful dead , she gets depressed .	0
mary listens to the grateful dead and she gets depressed .	1
if mary listens to the grateful dead , she gets depressed .	1
when mary listens to the grateful dead , she gets depressed .	1
mary gets depressed if she listens to the grateful dead .	1
mary gets depressed when she listens to the grateful dead .	1
the more she looked at pictures , the angrier mary got .	1
the more pictures mary looked at , she got angrier and angrier .	0
mary gets depressed and she listens to the grateful dead .	1
the higher the stakes are , the lower his expectations are .	1
the higher the stakes , the lower his expectations .	1
his expectations are lower , the higher the stakes .	1
his expectations are lower , the higher the stakes are .	1
his expectations lower , the higher the stakes .	0
his expectations lower , the higher the stakes are .	0
the more obnoxious fred is , the less attention you should pay to him .	1
the more obnoxious fred , the less attention you should pay to him .	0
the more fred is obnoxious , the less you should pay attention to him .	1
the more obnoxious fred , the less you should pay attention to him .	0
his expectations are always lower than mine .	1
john was lots more obnoxious than fred was .	1
you should always lock your door , no matter how fancy the hotel might be .	1
you should always lock your door , no matter how fancy the hotel .	1
